Player,T.RAB,TBF,T.4s,T.6s,T.50s,T.100s,Avg.Run,Avg.SR,RF.50s,RF.100s,T.Win,T.Loss,Unique.Opponents,Venues
AK Markram,995,765,73,35,3,0,30.151515151515152,130.0653594771242,0.07142857142857142,0.0,17,25,11,1
K Yadav,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
T Shamsi,2,4,0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,1
NT Ellis,19,25,0,1,0,0,4.75,76.0,0.0,0.0,1,4,4,1
RV Patel,80,72,6,2,0,0,20.0,111.11111111111111,0.0,0.0,3,4,4,1
TL Seifert,26,22,4,0,0,0,8.666666666666666,118.18181818181819,0.0,0.0,1,2,3,1
Anmolpreet Singh,139,115,19,3,0,0,15.444444444444445,120.8695652173913,0.0,0.0,2,7,5,1
Anuj Rawat,318,258,26,14,0,0,22.714285714285715,123.25581395348837,0.0,0.0,9,12,9,1
TH David,659,381,38,46,0,0,29.954545454545453,172.96587926509187,0.0,0.0,14,21,9,1
DP Conway,924,638,100,30,6,0,48.63157894736842,144.82758620689654,0.2727272727272727,0.0,11,11,9,1
Tilak Varma,1156,777,90,58,4,0,41.285714285714285,148.77734877734878,0.10526315789473684,0.0,14,24,10,1
R Powell,360,241,21,28,0,0,18.94736842105263,149.37759336099586,0.0,0.0,8,14,11,1
PBB Rajapaksa,277,185,22,15,1,0,23.083333333333332,149.72972972972974,0.07692307692307693,0.0,7,6,7,1
RA Bawa,11,14,1,0,0,0,5.5,78.57142857142857,0.0,0.0,1,1,2,1
OF Smith,51,44,1,5,0,0,17.0,115.90909090909092,0.0,0.0,3,3,6,1
A Badoni,634,466,46,24,1,0,25.36,136.05150214592274,0.02857142857142857,0.0,16,19,10,1
PVD Chameera,43,27,3,3,0,0,14.333333333333334,159.25925925925927,0.0,0.0,2,5,5,1
A Manohar,231,174,21,10,0,0,16.5,132.75862068965517,0.0,0.0,9,6,7,1
R Shepherd,115,61,7,10,0,0,23.0,188.52459016393445,0.0,0.0,3,6,6,1
DJ Willey,53,60,7,0,0,0,26.5,88.33333333333333,0.0,0.0,3,2,2,1
D Pretorius,44,28,3,3,0,0,11.0,157.14285714285714,0.0,0.0,1,4,4,1
JM Sharma,730,478,53,45,0,0,22.8125,152.71966527196653,0.0,0.0,13,23,10,1
VG Arora,9,16,0,0,0,0,4.5,56.25,0.0,0.0,2,5,5,1
Mukesh Choudhary,6,6,1,0,0,0,0.0,100.0,0.0,0.0,0,2,2,1
Umran Malik,23,15,1,2,0,0,23.0,153.33333333333334,0.0,0.0,0,5,5,1
D Brevis,230,172,17,16,0,0,23.0,133.72093023255815,0.0,0.0,1,9,8,1
B Sai Sudharsan,1034,735,95,32,3,1,49.23809523809524,140.68027210884352,0.12,0.04,13,12,10,1
Ramandeep Singh,170,99,8,13,0,0,28.333333333333332,171.7171717171717,0.0,0.0,7,6,10,1
HE van der Dussen,22,22,2,0,0,0,11.0,100.0,0.0,0.0,1,2,3,1
SS Prabhudessai,126,103,11,4,0,0,14.0,122.33009708737863,0.0,0.0,4,6,6,1
Akash Deep,19,12,2,1,0,0,9.5,158.33333333333331,0.0,0.0,0,3,3,1
JR Hazlewood,19,28,1,0,0,0,0.0,67.85714285714286,0.0,0.0,1,5,5,1
KR Sen,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
Aman Hakim Khan,115,102,8,6,1,0,12.777777777777779,112.74509803921569,0.1,0.0,3,7,7,1
HR Shokeen,66,63,9,0,0,0,22.0,104.76190476190477,0.0,0.0,2,3,3,1
Yash Dayal,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,1
DJ Mitchell,351,265,28,10,2,0,27.0,132.45283018867923,0.13333333333333333,0.0,8,7,10,1
Shashank Singh,423,255,33,25,0,0,38.45454545454545,165.8823529411765,0.0,0.0,5,14,10,1
B Indrajith,21,30,2,0,0,0,7.0,70.0,0.0,0.0,1,2,3,1
Harshit Rana,2,3,0,0,0,0,1.0,66.66666666666666,0.0,0.0,1,2,3,1
Mohsin Khan,25,24,2,1,0,0,12.5,104.16666666666667,0.0,0.0,2,3,4,1
Simarjeet Singh,7,8,0,0,0,0,7.0,87.5,0.0,0.0,0,3,3,1
M Theekshana,7,6,0,1,0,0,7.0,116.66666666666667,0.0,0.0,0,2,2,1
AS Roy,26,23,3,0,0,0,8.666666666666666,113.04347826086956,0.0,0.0,1,5,6,1
Fazalhaq Farooqi,3,13,0,0,0,0,0.0,23.076923076923077,0.0,0.0,0,2,2,1
K Kartikeya,9,11,1,0,0,0,4.5,81.81818181818183,0.0,0.0,0,2,2,1
RP Meredith,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,1
KS Sharma,16,25,1,0,0,0,5.333333333333333,64.0,0.0,0.0,1,2,3,1
T Stubbs,405,229,26,26,1,0,45.0,176.85589519650654,0.058823529411764705,0.0,7,10,9,1
R Sanjay Yadav,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
A Tomar,4,8,1,0,0,0,4.0,50.0,0.0,0.0,0,1,1,1
PN Mankad,97,72,13,2,0,0,32.333333333333336,134.72222222222223,0.0,0.0,4,1,3,1
OC McCoy,8,5,0,1,0,0,0.0,160.0,0.0,0.0,0,1,1,1
Sikandar Raza,182,134,12,8,1,0,26.0,135.82089552238804,0.1111111111111111,0.0,6,3,7,1
Rahmanullah Gurbaz,289,209,24,19,2,0,22.23076923076923,138.2775119617225,0.15384615384615385,0.0,7,6,8,1
KR Mayers,379,258,38,22,4,0,29.153846153846153,146.89922480620154,0.3076923076923077,0.0,6,7,8,1
Mukesh Kumar,10,18,0,0,0,0,10.0,55.55555555555556,0.0,0.0,0,5,5,1
HC Brook,190,153,23,4,0,0,21.11111111111111,124.18300653594771,0.0,0.0,3,8,8,1
AU Rashid,22,16,2,1,0,0,11.0,137.5,0.0,0.0,0,2,2,1
C Green,707,455,62,32,1,0,41.588235294117645,155.3846153846154,0.03571428571428571,0.0,15,13,9,1
N Wadhera,350,246,32,18,1,0,23.333333333333332,142.27642276422765,0.0625,0.0,4,12,8,1
Arshad Khan,96,63,5,6,0,0,32.0,152.38095238095238,0.0,0.0,1,5,4,1
Abishek Porel,360,235,37,15,2,0,25.714285714285715,153.19148936170214,0.125,0.0,5,11,10,1
Dhruv Jurel,347,228,29,16,0,0,26.692307692307693,152.19298245614036,0.0,0.0,12,10,10,1
MG Bracewell,58,44,6,1,0,0,29.0,131.8181818181818,0.0,0.0,2,2,4,1
MW Short,117,90,15,4,0,0,19.5,130.0,0.0,0.0,2,4,5,1
Mohit Rathee,1,2,0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,1
YV Dhull,16,23,1,0,0,0,5.333333333333333,69.56521739130434,0.0,0.0,0,3,3,1
Yudhvir Singh,22,16,1,2,0,0,5.5,137.5,0.0,0.0,1,3,4,1
Atharva Taide,247,164,27,8,1,0,30.875,150.609756097561,0.1111111111111111,0.0,3,6,7,1
Liton Das,4,4,1,0,0,0,4.0,100.0,0.0,0.0,0,1,1,1
PD Salt,653,364,74,34,5,0,34.36842105263158,179.3956043956044,0.23809523809523808,0.0,14,7,11,1
Vijaykumar Vyshak,14,12,0,1,0,0,7.0,116.66666666666667,0.0,0.0,1,3,4,1
Abdul Basith,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
Arjun Tendulkar,13,9,0,1,0,0,13.0,144.44444444444443,0.0,0.0,0,1,1,1
JP Behrendorff,6,9,0,0,0,0,0.0,66.66666666666666,0.0,0.0,0,2,1,1
AJ Hosein,16,10,1,1,0,0,0.0,160.0,0.0,0.0,1,0,1,1
Naveen-ul-Haq,18,22,2,0,0,0,18.0,81.81818181818183,0.0,0.0,1,3,4,1
Noor Ahmad,13,18,2,0,0,0,3.25,72.22222222222221,0.0,0.0,1,4,5,1
JE Root,10,15,1,0,0,0,10.0,66.66666666666666,0.0,0.0,0,1,1,1
KM Asif,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
MD Shanaka,26,26,2,1,0,0,13.0,100.0,0.0,0.0,2,1,3,1
Sanvir Singh,25,20,2,1,0,0,12.5,125.0,0.0,0.0,1,4,4,1
Vivrant Sharma,69,45,9,2,1,0,69.0,153.33333333333334,1.0,0.0,0,1,1,1
DG Nalkande,12,12,0,1,0,0,6.0,100.0,0.0,0.0,0,2,2,1
R Ravindra,222,137,22,12,1,0,24.666666666666668,162.04379562043795,0.1,0.0,5,5,8,1
SD Hope,183,122,12,12,0,0,26.142857142857142,150.0,0.0,0.0,6,3,7,1
Sumit Kumar,18,21,2,1,0,0,9.0,85.71428571428571,0.0,0.0,1,2,3,1
Azmatullah Omarzai,42,33,2,2,0,0,10.5,127.27272727272727,0.0,0.0,2,2,4,1
Naman Dhir,140,77,12,10,0,0,23.333333333333332,181.8181818181818,0.0,0.0,1,6,5,1
G Coetzee,14,20,0,1,0,0,3.5,70.0,0.0,0.0,0,5,4,1
SZ Mulani,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
Sameer Rizvi,51,43,4,2,0,0,12.75,118.6046511627907,0.0,0.0,2,3,5,1
SH Johnson,6,6,1,0,0,0,0.0,100.0,0.0,0.0,0,3,3,1
Akash Madhwal,4,4,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
SB Dubey,33,19,3,2,0,0,16.5,173.6842105263158,0.0,0.0,1,2,3,1
Mayank Dagar,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
RJW Topley,3,6,0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,1
A Raghuvanshi,163,102,16,8,1,0,23.285714285714285,159.80392156862746,0.14285714285714285,0.0,5,2,6,1
Ashutosh Sharma,189,108,10,15,1,0,27.0,175.0,0.1111111111111111,0.0,2,7,6,1
Nithish Kumar Reddy,303,211,15,21,1,0,33.666666666666664,143.60189573459715,0.09090909090909091,0.0,6,5,7,1
Saurav Chauhan,18,15,1,1,0,0,6.0,120.0,0.0,0.0,0,3,3,1
Kumar Kushagra,3,7,0,0,0,0,1.0,42.857142857142854,0.0,0.0,0,3,3,1
BR Sharath,2,5,0,0,0,0,2.0,40.0,0.0,0.0,0,1,1,1
WG Jacks,230,128,16,18,1,0,38.333333333333336,179.6875,0.125,0.0,5,3,6,1
J Fraser-McGurk,330,138,32,28,4,0,41.25,239.1304347826087,0.4444444444444444,0.0,6,3,7,1
Tanush Kotian,24,31,3,0,0,0,24.0,77.41935483870968,0.0,0.0,1,0,1,1
KA Maharaj,1,2,0,0,0,0,1.0,50.0,0.0,0.0,1,0,1,1
Arshad Khan (2),5,4,1,0,0,0,5.0,125.0,0.0,0.0,0,1,1,1
R Sai Kishore,13,5,0,2,0,0,13.0,260.0,0.0,0.0,0,1,1,1
L Wood,9,3,0,1,0,0,0.0,300.0,0.0,0.0,0,1,1,1
LB Williams,1,2,0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,1
AA Kulkarni,9,8,2,0,0,0,4.5,112.5,0.0,0.0,1,1,2,1
MJ Suthar,1,2,0,0,0,0,1.0,50.0,0.0,0.0,0,1,1,1
RJ Gleeson,2,1,0,0,0,0,0.0,200.0,0.0,0.0,1,0,1,1
Gulbadin Naib,19,15,1,1,0,0,19.0,126.66666666666666,0.0,0.0,1,0,1,1
D Ferreira,8,11,0,0,0,0,4.0,72.72727272727273,0.0,0.0,0,2,2,1
A Kamboj,2,2,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
T Kohler-Cadmore,48,53,7,1,0,0,16.0,90.56603773584906,0.0,0.0,1,2,3,1
Shivam Singh,2,3,0,0,0,0,0.0,66.66666666666666,0.0,0.0,0,1,1,1
V Viyaskanth,7,5,0,0,0,0,0.0,140.0,0.0,0.0,0,1,1,1
