Bowler,Matches,Innings,Overs,RunsGiven,Wickets,Economy,StrikeRate,Average,5W,3W,MaidenOvers,DotBalls,Extras,UniqueOpponents,OpponentsList
Akash Madhwal,13,13,44.8,424,19,9.46,14.16,22.32,1,4,0,89,17,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
J Suchith,21,21,70.0,602,19,8.6,22.11,31.68,0,0,0,142,17,9,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
IC Pandey,24,24,77.3,591,18,7.64,25.78,32.83,0,0,4,223,7,7,Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
BB Sran,24,24,81.0,757,18,9.35,27.0,42.06,0,1,0,175,39,9,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
CH Gayle,38,38,92.8,729,18,7.85,30.94,40.5,0,1,0,196,49,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Anureet Singh,22,22,69.8,623,18,8.92,23.28,34.61,0,1,0,152,22,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
A Ashish Reddy,20,20,44.0,396,18,9.0,14.67,22.0,0,1,0,83,10,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
WPUJC Vaas,13,13,47.3,355,18,7.5,15.78,19.72,0,1,2,134,10,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
NT Ellis,16,16,59.5,508,18,8.54,19.83,28.22,0,2,0,118,12,6,Delhi Capitals|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
CRD Fernando,10,10,39.7,298,17,7.51,14.0,17.53,0,1,0,107,19,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
BJ Hodge,20,20,39.0,303,17,7.77,13.76,17.82,0,2,0,79,9,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Bipul Sharma,28,28,71.0,572,17,8.06,25.06,33.65,0,0,0,139,15,12,Chennai Super Kings|Deccan Chargers|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore
R Rampaul,12,13,45.0,309,16,6.87,16.88,19.31,0,1,4,137,10,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals
D Wiese,15,15,49.5,440,16,8.89,18.56,27.5,0,1,0,86,12,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Sunrisers Hyderabad
Mukesh Choudhary,14,14,46.7,451,16,9.66,17.5,28.19,0,3,0,121,19,8,Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
C Green,29,29,73.3,664,16,9.05,27.5,41.5,0,0,0,160,30,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
YA Abdulla,11,11,35.0,307,15,8.77,14.0,20.47,0,3,1,92,13,6,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
MJ Santner,18,18,61.2,422,15,6.9,24.47,28.13,0,0,0,137,11,9,Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Mohammad Nabi,23,23,69.5,517,15,7.44,27.8,34.47,0,1,0,153,3,10,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru
RG Sharma,32,32,56.5,453,15,8.02,22.6,30.2,0,2,0,94,15,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
LR Shukla,27,27,52.7,447,15,8.49,21.07,29.8,0,2,0,117,18,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Kartik Tyagi,20,20,71.7,713,15,9.95,28.67,47.53,0,0,0,155,38,8,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Sunrisers Hyderabad
SJ Srivastava,14,14,47.2,441,14,9.35,20.21,31.5,0,0,0,106,32,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
AC Thomas,15,15,52.8,406,14,7.68,22.64,29.0,0,1,2,133,12,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
DR Sams,16,16,60.3,523,14,8.67,25.86,37.36,0,2,0,144,34,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
KR Sen,12,12,40.5,387,14,9.56,17.36,27.64,0,2,0,89,15,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore
JR Hopes,20,20,60.0,548,14,9.13,25.71,39.14,0,0,0,119,9,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
RR Powar,26,26,71.2,527,13,7.41,32.85,40.54,0,0,0,174,26,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
CK Langeveldt,7,7,26.2,187,13,7.15,12.08,14.38,0,1,0,75,9,6,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
Vijaykumar Vyshak,11,11,38.7,395,13,10.22,17.85,30.38,0,1,0,64,12,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad
TK Curran,13,13,40.2,430,13,10.71,18.54,33.08,0,1,0,59,14,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
G Coetzee,10,10,33.7,341,13,10.13,15.54,26.23,0,2,0,81,23,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bengaluru|Sunrisers Hyderabad
R Sai Kishore,10,10,31.0,258,13,8.32,14.31,19.85,0,1,0,57,5,8,Chennai Super Kings|Delhi Capitals|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru
CR Brathwaite,16,16,42.8,379,13,8.85,19.77,29.15,0,1,0,78,16,9,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
S Lamichhane,9,9,35.0,292,13,8.34,16.15,22.46,0,2,0,77,1,6,Chennai Super Kings|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore|Sunrisers Hyderabad
ST Jayasuriya,21,21,49.0,390,13,7.96,22.62,30.0,0,1,1,86,15,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
GD McGrath,14,14,54.2,357,12,6.59,27.08,29.75,0,1,2,162,5,7,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
Umar Gul,6,6,23.5,184,12,7.83,11.75,15.33,0,2,1,59,18,4,Deccan Chargers|Kings XI Punjab|Rajasthan Royals|Royal Challengers Bangalore
Ankit Sharma,21,21,61.2,450,12,7.36,30.58,37.5,0,0,0,139,14,9,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
AN Ahmed,17,17,58.2,498,12,8.56,29.08,41.5,0,0,1,131,31,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore|Sunrisers Hyderabad
Joginder Sharma,15,15,43.8,419,12,9.56,21.92,34.92,0,0,0,73,17,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
Karanveer Singh,9,9,34.0,321,12,9.44,17.0,26.75,0,2,0,66,9,6,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
R McLaren,18,18,59.5,542,12,9.11,29.75,45.17,0,0,0,128,22,8,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
VRV Singh,18,18,60.7,542,12,8.93,30.33,45.17,0,1,0,121,11,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
BA Bhatt,15,15,49.5,397,12,8.02,24.75,33.08,0,1,0,98,8,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals
J Little,11,11,38.0,339,11,8.92,20.73,30.82,0,1,0,84,8,7,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bengaluru
JL Pattinson,10,10,35.5,320,11,9.01,19.36,29.09,0,0,0,78,9,7,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
LS Livingstone,22,22,43.0,393,11,9.14,23.45,35.73,0,1,0,72,9,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
RS Bopara,14,14,34.3,292,11,8.5,18.73,26.55,0,1,0,66,16,6,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
A Chandila,12,12,39.0,242,11,6.21,21.27,22.0,0,1,0,105,0,7,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore|Sunrisers Hyderabad
Abhishek Sharma,26,26,45.2,389,11,8.61,24.64,35.36,0,0,0,76,9,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru
CJ Anderson,22,22,49.5,518,11,10.46,27.0,47.09,0,0,0,86,21,10,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
SM Pollock,13,13,46.0,301,11,6.54,25.09,27.36,0,1,1,132,4,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
AB McDonald,10,10,31.0,261,11,8.42,16.91,23.73,0,0,0,52,2,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
J Theron,10,11,37.2,302,11,8.13,20.27,27.45,0,0,0,75,14,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals
DJG Sammy,19,19,39.7,350,11,8.82,21.64,31.82,0,1,0,75,9,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
MA Wood,5,5,20.2,179,11,8.88,11.0,16.27,1,2,1,54,7,5,Chennai Super Kings|Delhi Capitals|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore
TS Mills,10,10,34.8,343,11,9.85,19.0,31.18,0,1,0,75,15,9,Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad
Pankaj Singh,17,17,50.2,468,11,9.33,27.36,42.55,0,0,1,115,15,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
OC McCoy,8,8,27.2,249,11,9.17,14.82,22.64,0,1,0,51,18,7,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Royal Challengers Bangalore|Sunrisers Hyderabad
S Badree,12,12,43.0,319,11,7.42,23.45,29.0,0,1,1,114,10,8,Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore
B Laughlin,9,9,28.2,282,10,10.01,16.9,28.2,0,0,0,44,11,6,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore|Sunrisers Hyderabad
V Pratap Singh,9,9,34.0,296,10,8.71,20.4,29.6,0,0,0,75,7,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
BCJ Cutting,17,17,46.8,429,10,9.16,28.1,42.9,0,0,0,78,7,9,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore|Sunrisers Hyderabad
N Rana,24,24,30.0,252,10,8.4,18.0,25.2,0,0,0,59,5,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
DJ Hooda,33,33,62.2,531,10,8.54,37.3,53.1,0,0,0,105,13,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Lalit Yadav,19,19,48.2,425,10,8.82,28.9,42.5,0,0,0,86,6,8,Chennai Super Kings|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
K Kartikeya,12,12,39.0,329,10,8.44,23.4,32.9,0,0,0,74,8,7,Chennai Super Kings|Gujarat Titans|Kolkata Knight Riders|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Suyash Sharma,13,13,43.2,372,10,8.62,25.9,37.2,0,1,0,88,6,9,Chennai Super Kings|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Kamran Khan,9,10,27.8,239,10,8.59,16.7,23.9,0,1,0,71,11,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore
SC Ganguly,20,20,46.2,363,10,7.86,27.7,36.3,0,0,0,82,4,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
KA Jamieson,9,9,28.5,269,9,9.44,19.0,29.89,0,1,0,70,11,7,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad
V Shankar,22,22,40.5,344,9,8.49,27.0,38.22,0,0,0,80,21,8,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AG Murtaza,12,12,44.0,313,9,7.11,29.33,34.78,0,1,0,106,9,6,Delhi Daredevils|Kochi Tuskers Kerala|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
SE Bond,8,8,31.0,224,9,7.23,20.67,24.89,0,0,1,76,6,5,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Mumbai Indians|Rajasthan Royals
Shahid Afridi,10,10,30.2,225,9,7.46,20.11,25.0,0,1,0,65,5,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
SMSM Senanayake,8,8,32.0,209,9,6.53,21.33,23.22,0,0,1,75,3,7,Chennai Super Kings|Kings XI Punjab|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
KMA Paul,8,8,28.0,237,9,8.46,18.67,26.33,0,2,0,54,21,5,Chennai Super Kings|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Sunrisers Hyderabad
Rasikh Salam,11,11,32.8,339,9,10.32,21.89,37.67,0,2,0,58,12,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bengaluru
Simarjeet Singh,10,10,30.2,259,9,8.59,20.11,28.78,0,1,0,85,17,8,Delhi Capitals|Gujarat Titans|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
PVD Chameera,13,13,47.3,432,9,9.13,31.56,48.0,0,0,0,128,19,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore
JDP Oram,14,14,39.7,349,9,8.8,26.44,38.78,0,1,0,86,7,8,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
AM Nayar,19,19,38.2,322,9,8.44,25.44,35.78,0,1,0,70,11,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
BE Hendricks,7,7,25.2,235,9,9.34,16.78,26.11,0,1,0,55,11,7,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
IS Sodhi,8,8,30.2,202,9,6.7,20.11,22.44,0,1,1,66,1,6,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Royal Challengers Bangalore|Sunrisers Hyderabad
P Parameswaran,8,8,25.8,224,9,8.67,17.22,24.89,0,1,0,66,5,6,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
KP Appanna,13,13,36.0,286,9,7.94,24.0,31.78,0,1,0,70,8,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals
MN Samuels,11,11,35.7,284,9,7.96,23.78,31.56,0,1,0,80,6,8,Chennai Super Kings|Deccan Chargers|Gujarat Lions|Kings XI Punjab|Mumbai Indians|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
JEC Franklin,15,15,25.5,220,9,8.63,17.0,24.44,0,0,0,41,4,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
T Thushara,6,6,22.8,161,8,7.05,17.12,20.12,0,0,0,60,9,5,Deccan Chargers|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
JDS Neesham,13,13,36.0,334,8,9.28,27.0,41.75,0,1,0,68,6,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
BAW Mendis,10,11,40.8,303,8,7.42,30.62,37.88,0,0,0,79,8,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
JD Ryder,16,16,39.3,303,8,7.7,29.5,37.88,0,0,1,84,6,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
DJ Hussey,26,26,52.8,474,8,8.97,39.62,59.25,0,0,0,92,7,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
I Udana,10,10,29.0,282,8,9.72,21.75,35.25,0,0,0,49,8,7,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Sunrisers Hyderabad
SB Styris,11,11,36.0,276,8,7.67,27.0,34.5,0,1,0,85,6,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
J Yadav,20,20,65.3,445,8,6.81,49.0,55.62,0,0,0,155,8,9,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
S Sandeep Warrier,10,10,28.3,253,8,8.93,21.25,31.62,0,1,0,75,8,6,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Mumbai Indians|Punjab Kings|Royal Challengers Bengaluru
N Thushara,7,7,26.3,257,8,9.76,19.75,32.12,0,2,0,51,18,5,Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Rajasthan Royals|Sunrisers Hyderabad
J Syed Mohammad,11,11,32.0,283,8,8.84,24.0,35.38,0,0,0,50,4,6,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Pune Warriors
Mohammad Asif,8,8,32.2,296,8,9.2,24.12,37.0,0,0,0,71,7,6,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
Anand Rajan,8,8,25.0,201,8,8.04,18.75,25.12,0,1,0,62,13,6,Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
AA Chavan,13,13,41.3,326,8,7.89,31.0,40.75,0,0,0,110,8,6,Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors
KC Cariappa,11,11,36.3,348,8,9.58,27.25,43.5,0,0,0,62,8,5,Delhi Daredevils|Gujarat Lions|Mumbai Indians|Royal Challengers Bangalore|Sunrisers Hyderabad
AM Salvi,7,7,25.0,200,7,8.0,21.43,28.57,0,0,0,61,10,6,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
N Burger,5,5,17.0,145,7,8.53,14.57,20.71,0,0,0,50,7,5,Chennai Super Kings|Delhi Capitals|Lucknow Super Giants|Mumbai Indians|Royal Challengers Bengaluru
MP Yadav,4,4,12.3,85,7,6.89,10.57,12.14,0,2,0,42,3,4,Gujarat Titans|Mumbai Indians|Punjab Kings|Royal Challengers Bengaluru
M Ntini,9,9,35.3,242,7,6.85,30.29,34.57,0,1,2,108,4,6,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
Akash Deep,8,8,28.0,319,7,11.39,24.0,45.57,0,1,1,57,11,5,Chennai Super Kings|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals
GC Viljoen,6,6,23.0,222,7,9.65,19.71,31.71,0,0,0,47,12,4,Delhi Capitals|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore
Swapnil Singh,14,14,27.2,241,7,8.87,23.29,34.43,0,0,0,39,3,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Sunrisers Hyderabad
AF Milne,10,10,34.7,327,7,9.43,29.71,46.71,0,0,0,77,14,7,Chennai Super Kings|Gujarat Lions|Kolkata Knight Riders|Mumbai Indians|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
B Stanlake,6,6,24.0,200,7,8.33,20.57,28.57,0,0,0,64,6,6,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals
KM Asif,7,7,22.5,230,7,10.22,19.29,32.86,0,0,0,47,11,6,Delhi Daredevils|Kolkata Knight Riders|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
